ts,item_no,item,op,target,expected,actual,pass
08:47:35,31,Red Rock Chilli Sriracha,update_single_price:coles,row31,wrote 17.34,wrote=True err=,PASS
08:47:48,32,Chobani 15G Protein Greek Yogurt Strawberry Pouch 150g,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:47:49,32,Chobani 15G Protein Greek Yogurt Strawberry Pouch 150g,update_single_price:woolworths,row32,wrote 19.86,wrote=True err=,PASS
08:47:49,33,Red Bull Sugar Free,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:47:50,33,Red Bull Sugar Free,update_single_price:coles,row33,wrote 24.09,wrote=True err=,PASS
08:47:50,34,Woolworths Fresh Herb Coriander Bunch each,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:47:50,34,Woolworths Fresh Herb Coriander Bunch each,update_single_price:woolworths,row34,wrote 2.82,wrote=True err=,PASS
08:47:59,35,Loacker Chocolate,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:48:00,35,Loacker Chocolate,update_single_price:coles,row35,wrote 18.68,wrote=True err=,PASS
08:48:44,36,Mount Franklin Sparkling Lime 450Ml,lookup,engine,found/exact,LookupStatus.SHEET_AND_LIVE,PASS
08:48:44,36,Mount Franklin Sparkling Lime 450Ml,update_single_price:woolworths,row36,wrote 9.38,wrote=True err=,PASS
08:48:44,37,Eclipse Intense Mint,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:48:45,37,Eclipse Intense Mint,update_single_price:coles,row37,wrote 3.22,wrote=True err=,PASS
08:48:45,38,So Chocolate Almond 1L,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:48:45,38,So Chocolate Almond 1L,update_single_price:woolworths,row38,wrote 16.41,wrote=True err=,PASS
08:48:45,39,Brown Onion 1Kg,lookup,engine,found/exact,LookupStatus.EXACT_SHEET,PASS
08:48:46,39,Brown Onion 1Kg,update_single_price:coles,row39,wrote 15.76,wrote=True err=,PASS
